発注日,商品番号,商品名,単価,在庫,注文数
2016-03-06,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24
2015-03-27,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,12
2017-05-31,YY4HAAZR,商品サンプル YY4HAAZR,780,10,0
2022-10-26,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24
2016-06-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,24
2024-04-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,24
2016-01-06,MESUDVWQ,商品サンプル MESUDVWQ,660,10,42
2022-01-07,S6RE8W6X,商品サンプル S6RE8W6X,720,25,54
2021-03-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48
2015-07-21,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,6
2015-03-09,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,36
2023-05-16,S6RE8W6X,商品サンプル S6RE8W6X,720,20,6
2022-05-30,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,12
2022-03-21,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,48
2018-11-08,48XMJXKO,商品サンプル 48XMJXKO,330,5,30
2021-12-11,YY4HAAZR,商品サンプル YY4HAAZR,780,50,36
2017-01-09,QRMOGNUU,商品サンプル QRMOGNUU,420,30,48
2022-10-11,8T7D5DQA,商品サンプル 8T7D5DQA,120,25,36
2018-04-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,48
2016-09-15,YY4HAAZR,商品サンプル YY4HAAZR,780,5,54
2018-01-01,8T7D5DQA,商品サンプル 8T7D5DQA,120,30,12
2020-07-20,S6RE8W6X,商品サンプル S6RE8W6X,720,20,24
2017-06-16,QRMOGNUU,商品サンプル QRMOGNUU,420,10,42
2021-10-27,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,20,18
2020-05-08,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,36
2022-03-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,15,54
2020-07-26,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,0
2021-11-21,QRMOGNUU,商品サンプル QRMOGNUU,420,45,12
2017-09-12,MESUDVWQ,商品サンプル MESUDVWQ,660,45,48
2018-11-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,60
2019-08-13,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,36
2021-05-06,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,0
2023-12-16,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,6
2019-06-05,8T7D5DQA,商品サンプル 8T7D5DQA,120,25,0
2018-04-06,S6RE8W6X,商品サンプル S6RE8W6X,720,25,48
2018-01-03,QRMOGNUU,商品サンプル QRMOGNUU,420,0,54
2024-08-29,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,0
2024-04-04,2HSTCDWM,商品サンプル 2HSTCDWM,300,45,0
2024-08-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,0
2019-06-22,S6RE8W6X,商品サンプル S6RE8W6X,720,25,12
2023-02-14,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,36
2022-11-30,MESUDVWQ,商品サンプル MESUDVWQ,660,0,54
2020-02-17,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48
2023-05-25,48XMJXKO,商品サンプル 48XMJXKO,330,30,30
2015-11-29,48XMJXKO,商品サンプル 48XMJXKO,330,25,12
2023-06-24,8T7D5DQA,商品サンプル 8T7D5DQA,120,10,18
2016-09-03,S6RE8W6X,商品サンプル S6RE8W6X,720,25,54
2015-07-25,8T7D5DQA,商品サンプル 8T7D5DQA,120,10,36
2016-09-06,48XMJXKO,商品サンプル 48XMJXKO,330,50,18
2021-08-09,QRMOGNUU,商品サンプル QRMOGNUU,420,50,12
2019-05-22,S6RE8W6X,商品サンプル S6RE8W6X,720,35,36
2022-07-23,S6RE8W6X,商品サンプル S6RE8W6X,720,50,0
2016-12-20,QRMOGNUU,商品サンプル QRMOGNUU,420,10,54
2020-07-18,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,0
2023-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,48
2015-11-26,S6RE8W6X,商品サンプル S6RE8W6X,720,25,6
2021-12-31,QRMOGNUU,商品サンプル QRMOGNUU,420,50,48
2022-01-29,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,60
2024-12-23,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,18
2020-05-03,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,42
2018-04-20,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,54
2018-08-07,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,42
2015-01-09,2HSTCDWM,商品サンプル 2HSTCDWM,300,30,24
2019-09-14,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,30
2015-01-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,45,42
2020-12-13,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,0
2019-11-08,48XMJXKO,商品サンプル 48XMJXKO,330,45,42
2022-10-24,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24
2017-10-11,MESUDVWQ,商品サンプル MESUDVWQ,660,20,54
2018-09-04,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,48
2023-11-09,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,12
2017-10-09,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,54
2020-08-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,12
2023-12-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,12
2024-01-18,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24
2020-11-28,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,48
2018-12-28,YY4HAAZR,商品サンプル YY4HAAZR,780,0,42
2019-11-27,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,0
2015-12-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18
2021-12-09,S6RE8W6X,商品サンプル S6RE8W6X,720,25,60
2016-11-02,QRMOGNUU,商品サンプル QRMOGNUU,420,40,30
2023-03-07,MESUDVWQ,商品サンプル MESUDVWQ,660,5,18
2019-09-26,QRMOGNUU,商品サンプル QRMOGNUU,420,5,30
2024-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,36
2024-06-13,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,60
2021-05-10,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,42
2015-07-10,MESUDVWQ,商品サンプル MESUDVWQ,660,10,54
