,èäìæ,ízîNêî,ínàÊêlå˚,à‹ìx,åoìx,èZëÓâøäi,ïîâÆêî/êl,êQé∫êî/êl
0,8.3252,41.0,322.0,37.88,-122.23,4.526,2.7329192546583854,0.40062111801242234
1,8.3014,21.0,2401.0,37.86,-122.22,3.585,2.956684714702207,0.4606413994169096
2,7.2574,52.0,496.0,37.85,-122.24,3.521,2.9576612903225805,0.3830645161290323
3,5.6431,52.0,558.0,37.85,-122.25,3.413,2.283154121863799,0.4211469534050179
4,3.8462,52.0,565.0,37.85,-122.25,3.422,2.879646017699115,0.49557522123893805
5,4.0368,52.0,413.0,37.85,-122.25,2.697,2.225181598062954,0.5157384987893462
6,3.6591,52.0,1094.0,37.84,-122.25,2.992,2.3171846435100547,0.4469835466179159
7,3.12,52.0,1157.0,37.84,-122.25,2.414,2.6828003457216942,0.5937770095073466
8,2.0804,42.0,1206.0,37.84,-122.26,2.267,2.1185737976782755,0.5514096185737977
9,3.6912,52.0,1551.0,37.84,-122.25,2.611,2.288201160541586,0.4558349451966473
10,3.2031,52.0,910.0,37.85,-122.26,2.815,2.4197802197802196,0.47692307692307706
11,3.2705,52.0,1504.0,37.85,-122.26,2.418,2.329122340425532,0.5
12,3.075,52.0,1098.0,37.85,-122.26,2.135,2.268670309653916,0.43169398907103823
13,2.6736,52.0,345.0,37.84,-122.26,1.913,2.017391304347826,0.553623188405797
14,1.9167,52.0,1212.0,37.85,-122.26,1.592,2.1806930693069306,0.5165016501650165
15,2.125,50.0,697.0,37.85,-122.26,1.4,1.6068866571018652,0.406025824964132
16,2.775,52.0,793.0,37.85,-122.27,1.525,2.479192938209332,0.43757881462799497
17,2.1202,52.0,648.0,37.85,-122.27,1.555,1.8950617283950617,0.4521604938271605
18,1.9911,50.0,990.0,37.84,-122.26,1.587,2.2616161616161614,0.4595959595959596
19,2.6033,52.0,690.0,37.84,-122.27,1.629,2.1782608695652175,0.4318840579710145
20,1.3578,40.0,409.0,37.85,-122.27,1.475,1.8361858190709046,0.44987775061124696
